Key,german
ttCombineLimitExceededWorkbench,"An der Werkbank können Sie Gegenstände nur bis 40 verbessern."
ttCombineLimitExceededScifi,"Mit der Laserwerkbank können Sie Gegenstände nur bis 80 verbessern."
buffIllFoodPoisoning01Desc,"Sie fühlen sich unwohl in Ihrem Magen."
buffIllFoodPoisoning01Name,Lebensmittelvergiftung
statFoodPoisoningRisk,Lebensmittelvergiftung
statRottenFoodChance,Chance auf verdorbene Lebensmittel
statQuestRewardOptionCount,"Zusätzliche Quest-Belohnungsoptionen"
statQuestBonusItemReward,Bonus-Quest-Belohnungen
reqASAuto15,Automatikwaffen Stufe 15
reqASAuto30,Automatikwaffen Stufe 30
reqASAuto45,Automatikwaffen Stufe 45
reqASAuto60,Automatikwaffen Stufe 60
reqASAuto75,Automatikwaffen Stufe 75
reqASBlunt15,Stumpfe Waffen Stufe 15
reqASBlunt30,Stumpfe Waffen Stufe 30
reqASBlunt45,Stumpfe Waffen Stufe 45
reqASBlunt60,Stumpfe Waffen Stufe 60
reqASBlunt75,Stumpfe Waffen Stufe 75
reqHunterLevelNot01,"Bereits verfügbar für die Klasse der Jäger"
reqLaborerLevelNot01,"Für die Arbeiterklasse bereits verfügbar"
reqMechanicLevelNot01,"Bereits verfügbar für die Mechaniker-Klasse"
reqSurvivalistLevelNot01,"Bereits verfügbar für die Survivalistenklasse"
reqASArchery30,"Bogenschießen Stufe 30"
reqASBlades15,Klingenwaffen Stufe 15
reqASBlades30,Klingenwaffen Stufe 30
reqCSTools15,Bauwerkzeuge Stufe 15
reqCSTools30,Bauwerkzeuge Stufe 30
reqCSTools45,Bauwerkzeuge Stufe 45
reqASPistols15,Pistolen Stufe 15
reqASPistols30,Pistolen Stufe 30
reqASPistols45,Pistolen Stufe 45
reqASPistols60,Pistolen Stufe 60
reqASPistols75,Pistolen Stufe 75
reqASRifles15,Gewehre Stufe 15
reqASRifles30,Gewehre Stufe 30
reqASRifles45,Gewehre Stufe 45
reqASRifles60,Gewehre Stufe 60
reqASRifles75,Gewehre Stufe 75
reqASShotguns15,Schrotflinten Stufe 15
