Key,german,latam,italian,japanese,polish,brazilian,russian,bulgarian,czech,danish,greek,estonian,finnish,hungarian,indonesian,lithuanian,latvian,dutch,romanian,Slovak,Slovenian,Swedish
takeandreplace,Abzocke,Estafa,Rip off,"リップオフ",Zerwanie,Rip off,"Оторвать","Измама",Rip off,Rip off,Rip off,Rip off,Rip off,Rip off,Menipu,"Apiplėšimas","Nolaupīt",Rip off,Rip off,"Zneužitie",Izgubiti,"Avskräcka"
musicbox_turnOn,Einschalten,Encender,Accendere,"オン",Turn On,Ligar,"Включить","Включване",Zapnout,"Slå til","Ενεργοποίηση","Lülita sisse","Kytke päälle","Bekapcsolás",Nyalakan,"Įjungti","Ieslēgt",Zet aan.,"Porniți","Zapnúť",Vklopite,"Slå på"
musicbox_turnOff,Ausschalten,Apagar,Spegnere,"OFFにする","Wyłącz",Desligar,"Выключить","Изключване",Vypnout,Sluk for,"Απενεργοποίηση","Lülita välja","Kytke pois päältä","Kikapcsolás",Matikan,"Išjungti","Izslēgt",Zet uit.,Oprire,"Vypnúť",Izklopite,"Stäng av"
BanditFactionSchematic,Master of Disguse,Maestro del asco,Maestro del disgusto,"ディスガイアの達人",Master of disguse,Mestre do desgosto,"Мастер отвращения","Майстор на измамата",Master of disguse,Master of disguse,Master of disguse,Disguse meister,Master of disguse,"A szégyenkezés mestere",Master of disguse,Disguse meistras,"Disgūzas meistars",Meester van walging,Maestru al dezgustului,Master of disguse,"Mojster razočaranja","Mästare i oskuld"
UndeadFactionSchematic,Master of Disguse,Maestro del asco,Maestro del disgusto,"ディスガイアの達人",Master of disguse,Mestre do desgosto,"Мастер отвращения","Майстор на измамата",Master of disguse,Master of disguse,Master of disguse,Disguse meister,Master of disguse,"A szégyenkezés mestere",Master of disguse,Disguse meistras,"Disgūzas meistars",Meester van walging,Maestru al dezgustului,Master of disguse,"Mojster razočaranja","Mästare i oskuld"
DukeRiverFactionSchematic,Master of Disguse,Maestro del asco,Maestro del disgusto,"ディスガイアの達人",Master of disguse,Mestre do desgosto,"Мастер отвращения","Майстор на измамата",Master of disguse,Master of disguse,Master of disguse,Disguse meister,Master of disguse,"A szégyenkezés mestere",Master of disguse,Disguse meistras,"Disgūzas meistars",Meester van walging,Maestru al dezgustului,Master of disguse,"Mojster razočaranja","Mästare i oskuld"
WhiteRiverFactionSchematic,Master of Disguse,Maestro del asco,Maestro del disgusto,"ディスガイアの達人",Master of disguse,Mestre do desgosto,"Мастер отвращения","Майстор на измамата",Master of disguse,Master of disguse,Master of disguse,Disguse meister,Master of disguse,"A szégyenkezés mestere",Master of disguse,Disguse meistras,"Disgūzas meistars",Meester van walging,Maestru al dezgustului,Master of disguse,"Mojster razočaranja","Mästare i oskuld"
ResetFactionSchematic,Master of Disguse,Maestro del asco,Maestro del disgusto,"ディスガイアの達人",Master of disguse,Mestre do desgosto,"Мастер отвращения","Майстор на измамата",Master of disguse,Master of disguse,Master of disguse,Disguse meister,Master of disguse,"A szégyenkezés mestere",Master of disguse,Disguse meistras,"Disgūzas meistars",Meester van walging,Maestru al dezgustului,Master of disguse,"Mojster razočaranja","Mästare i oskuld"
ResetFactionSchematicDesc,"Lesen Sie dies, um Ihre Fraktion zurückzusetzen!","Lee esto para restablecer tu facción.",Leggi questo per resettare la tua fazione!,"これを読めば派閥がリセットされる！？","Przeczytaj to, aby zresetować swoją frakcję!","Leia isto para reiniciar sua facção!","Прочитайте это, чтобы сбросить свою фракцию!","Прочетете това, за да нулирате фракцията си!","Přečtěte si tento článek a obnovte svou frakci!","Læs dette for at nulstille din fraktion!","Διαβάστε αυτό για να επαναφέρετε την παράταξή σας!","Lugege seda, et oma fraktsioon tagasi seada!","Lue tämä nollataksesi ryhmittymääsi!","Olvasd el ezt, hogy visszaállítsd a frakciódat!",Baca ini untuk mengatur ulang faksi Anda!,"Perskaitykite tai, kad iš naujo nustatytumėte savo frakciją!","Izlasiet šo, lai atjaunotu savu frakciju!",Lees dit om je factie te resetten!,"Citește asta pentru a-ți reseta facțiunea!","Prečítaj si toto, aby si obnovil svoju frakciu!",Preberite to in ponastavite svojo frakcijo!,"Läs det här för att återställa din grupp!"
BanditFactionSchematicDesc,"Lies dies, um zur Banditenfraktion zu wechseln!","Lee esto para pasarte a la facción de los bandidos.",Leggi questo per passare alla fazione dei banditi!,"これを読めば、盗賊派に乗り換えられる!","Przeczytaj to, aby przejść na frakcję bandytów!","Leia isto para mudar para a facção do bandido!","Прочитайте это, чтобы перейти во фракцию бандитов!","Прочетете това, за да преминете към бандитската фракция!","Přečtěte si tento článek a přejděte k frakci banditů!","Læs dette for at skifte over til banditfraktionen!","Διαβάστε αυτό για να μεταπηδήσετε στην παράταξη των ληστών!","Loe seda, et minna üle bandiitide fraktsioonile!","Lue tämä vaihtaaksesi rosvoryhmään!","Olvasd el ezt, hogy átállj a bandita frakcióba!",Baca ini untuk beralih ke faksi bandit!,"Perskaitykite tai, kad pereitumėte į banditų frakciją!","Izlasiet šo, lai pārietu uz bandītu frakciju!",Lees dit om over te stappen naar de bandietenfactie!,"Citește asta ca să treci la facțiunea bandiților!","Prečítaj si to, aby si prešiel na stranu banditov!","Preberite to, da prestopite v frakcijo banditov!","Läs detta för att byta till banditfraktionen!"
UndeadFactionSchematicDesc,"Lies dies, um zur Fraktion der Untoten zu wechseln!","Lee esto para cambiarte a la facción de los muertos vivientes.",Leggi questo per passare alla fazione dei non morti!,"これを読めばアンデッド派閥に切り替わる!","Przeczytaj to, aby przejść na frakcję nieumarłych!","Leia isto para mudar para a facção dos mortos-vivos!","Прочитайте это, чтобы перейти во фракцию нежити!","Прочетете това, за да преминете към фракцията на немъртвите!","Přečtěte si tento článek a přejděte k frakci nemrtvých!","Læs dette for at skifte over til den udøde fraktion!","Διαβάστε αυτό για να μεταπηδήσετε στην παράταξη των απέθαντων!","Loe seda, et minna üle ebasurnute fraktsioonile!","Lue tämä siirtyäksesi epäkuolleiden ryhmään!","Olvasd el ezt, hogy átállj az élőhalott frakcióra!",Baca ini untuk beralih ke faksi mayat hidup!,"Perskaitykite tai, kad pereitumėte į nemirtingųjų frakciją!","Izlasiet šo, lai pārietu uz nemirstīgo frakciju!",Lees dit om over te stappen naar de ondode factie!,"Citește asta pentru a trece la facțiunea strigoilor!","Prečítaj si to, aby si mohol prejsť na frakciu nemŕtvych!","Preberite to, da preklopite na frakcijo nemrtvih!","Läs detta för att byta till den odöda fraktionen!"
WhiteRiverFactionSchematicDesc,"Lesen Sie dies, um zur Fraktion des Weißen Flusses zu wechseln!","Lee esto para cambiarte a la facción del Río Blanco.",Leggete questo per passare alla fazione del Fiume Bianco!,"これを読めば、白河派に乗り換えられる!","Przeczytaj to, aby przejść na frakcję White River!","Leia isto para mudar para a facção de White River!","Прочитайте это, чтобы перейти во фракцию Белой реки!","Прочетете това, за да преминете към фракцията на Бялата река!","Přečtěte si tento článek a přejděte k frakci White River!","Læs dette for at skifte over til White River-fraktionen!","Διαβάστε αυτό για να μεταπηδήσετε στην παράταξη του Λευκού Ποταμού!","Loe seda, et minna üle Valgejõe fraktsioonile!","Lue tämä vaihtaaksesi White River -ryhmään!","Olvasd el ezt, hogy átállj a White River frakcióra!",Baca ini untuk beralih ke faksi White River!,"Perskaitykite tai, kad pereitumėte į Baltosios upės frakciją!","Izlasiet šo, lai pārietu uz White River frakciju!",Lees dit om over te stappen naar de White River factie!,"Citește asta ca să treci la facțiunea Râul Alb!","Prečítaj si to, aby si mohol prejsť na frakciu White River!","Preberite to, da prestopite v frakcijo White River!","Läs detta för att byta till White River-fraktionen!"
DukeRiverFactionSchematicDesc,"Lesen Sie dies, um zur Duke-Fraktion zu wechseln!","Lee esto para pasarte a la facción del Duque.",Leggete questo per passare alla fazione dei Duke!,"これを読めば、デューク派に乗り換えられる!","Przeczytaj to, aby przejść na stronę frakcji Duke!","Leia isto para mudar para a facção Duke!","Прочитайте это, чтобы перейти на сторону фракции герцога!","Прочетете това, за да преминете към фракцията на херцозите!","Přečtěte si tento článek a přejděte na stranu vévody!","Læs dette for at skifte over til Duke-fraktionen!","Διαβάστε αυτό για να μεταπηδήσετε στην παράταξη του Δούκα!","Loe seda, et minna üle hertsogi fraktsioonile!","Lue tämä siirtyäksesi herttuan puolelle!","Olvasd el ezt, hogy átállj a Herceg frakcióba!",Baca ini untuk beralih ke faksi Duke!,"Perskaitykite tai, kad pereitumėte į kunigaikščio frakciją!","Izlasiet šo, lai pārietu uz hercoga frakciju!",Lees dit om over te stappen naar de Duke factie!,"Citește asta ca să treci la facțiunea Ducilor!","Prečítaj si to, aby si prešiel na stranu vojvodu!","Preberite to, da prestopite k vojvodski frakciji!","Läs det här för att byta till Duke-fraktionen!"
