Key,german
TraderMechanic_b,Der Mechaniker
vehicleBoxTruckbody,Kastenwagen-Aufbau
vehicleBoxTruckbodyDesc,"Benötigte Teile für die Herstellung des Box Trucks."
vehicleBoxTruckchassis,Kastenwagen-Fahrgestell
vehicleBoxTruckchassisDesc,"Benötigte Teile für die Herstellung des Box Trucks."
vehicleBoxTruckPlain,Kastenwagen
vehicleBoxTruckPlainplaceable,Kastenwagen
vehicleBoxTruckPlainplaceableDesc,Ein alter Kastenwagen.
vehicleBoxTruckHostess,Hostess Box Truck
vehicleBoxTruckHostessplaceable,Hostess Box Truck
vehicleBoxTruckHostessplaceableDesc,Der Favorit von Tallahassee!
vehicleGNXchassis,GNX-Fahrwerk
vehicleGNXchassisDesc,"Für die Herstellung des GNX benötigte Teile. Fettnäpfchen Stufe 4 erforderlich."
vehicleGNXaccessories,"GNX-Zubehör"
vehicleGNXaccessoriesDesc,"Für die Herstellung des GNX benötigte Teile."
vehicleGNXBlack,GNX
vehicleGNXBlackplaceable,GNX Schwarz
vehicleGNXBlackplaceableDesc,"Durchqueren Sie das Ödland mit Stil!"
vehicleGNXRed,GNX
vehicleGNXRedplaceable,GNX Rot
vehicleGNXRedplaceableDesc,"Durchqueren Sie das Ödland mit Stil!"
vehicleGolfCart,Golfwagen
vehicleGolfCartchassis,Golfwagen-Fahrgestell
vehicleGolfCartchassisDesc,"Für die Herstellung des Golfwagens benötigte Teile. Fettnäpfchen Stufe 2 erforderlich."
vehicleGolfCartaccessories,"Golf Cart Zubehör"
vehicleGolfCartaccessoriesDesc,"Für die Herstellung des Golfwagens benötigte Teile. Fettnäpfchen Stufe 2 erforderlich."
vehicleGolfCartplaceable,Golfwagen
vehicleGolfCartplaceableDesc,"Es ist zwar nicht viel, aber besser als zu Fuß zu gehen!"
meleeGolfClub,Golfclub
meleeGolfClubDesc,"Keine Golfbälle? Es gibt immer genug Zombies, mit denen du deinen Schwung üben kannst!"
vehicleWillyJeep,Willy Jeep
vehicleWillyJeepplaceable,Willy Jeep
vehicleWillyJeepplaceableDesc,"Wenn es den Zweiten Weltkrieg überlebt hat, kann es auch das hier schaffen!"
vehicleWillyJeepTopless,Willy Jeep (oben ohne)
vehicleWillyJeepToplessplaceable,Willy Jeep (oben ohne)
vehicleWillyJeepToplessplaceableDesc,Jetzt mit noch mehr Wind-in-Haaren-Action!
vehicleWillyJeepBlack,Willy Jeep
vehicleWillyJeepBlackplaceable,Willy Jeep
vehicleWillyJeepBlackplaceableDesc,"Wenn es den Zweiten Weltkrieg überlebt hat, kann es auch das hier schaffen!"
vehicleWillyJeepToplessBlack,Willy Jeep (oben ohne)
vehicleWillyJeepToplessBlackplaceable,Willy Jeep (oben ohne)
vehicleWillyJeepToplessBlackplaceableDesc,Jetzt mit noch mehr Wind-in-Haaren-Action!
vehicleWillyJeepBlue,Willy Jeep
vehicleWillyJeepBlueplaceable,Willy Jeep
vehicleWillyJeepBlueplaceableDesc,"Wenn es den Zweiten Weltkrieg überlebt hat, kann es auch das hier schaffen!"
vehicleWillyJeepToplessBlue,Willy Jeep (oben ohne)
vehicleWillyJeepToplessBlueplaceable,Willy Jeep (oben ohne)
vehicleWillyJeepToplessBlueplaceableDesc,Jetzt mit noch mehr Wind-in-Haaren-Action!
vehicleWillyJeepGreen,Willy Jeep
vehicleWillyJeepGreenplaceable,Willy Jeep
vehicleWillyJeepGreenplaceableDesc,"Wenn es den Zweiten Weltkrieg überlebt hat, kann es auch das hier schaffen!"
vehicleWillyJeepToplessGreen,Willy Jeep (oben ohne)
vehicleWillyJeepToplessGreenplaceable,Willy Jeep (oben ohne)
